
mean_cpu,std_cpu,min_cpu,max_cpu,delta_cpu,cpu_trend,cpu_volatility,mean_memory,std_memory,memory_trend,mean_requests,request_spike_count,throughput_delta,cost_delta,unit_economics_ratio,incident_type
50,5,45,59,3,0.14,0.11,46,4,0.11,1107,0,46,5,1.4,Normal
54,3,46,66,6,0.23,0.14,49,2,0.16,1140,0,50,6,1.33,Normal
85,13,58,95,33,3.02,1.94,56,6,0.34,1531,3,110,47,0.46,BadDeploy
88,18,53,95,38,2.27,1.66,57,4,0.46,1597,3,134,50,0.57,BadDeploy
52,4,44,66,4,0.31,0.17,46,4,0.15,1236,0,45,7,1.38,Normal
63,6,49,75,12,0.76,0.31,77,8,1.19,1527,2,105,25,0.53,MemoryLeak
51,5,46,64,4,0.32,0.14,51,3,0.08,1135,0,42,4,1.47,Normal
55,3,46,62,6,0.12,0.14,52,4,0.09,1241,0,43,6,1.45,Normal
85,15,58,96,35,2.0,2.05,60,6,0.43,1629,2,145,39,0.57,BadDeploy
71,9,50,87,21,1.58,1.08,54,6,0.46,2309,5,336,42,1.6,TrafficSpike
59,6,51,76,14,0.91,0.33,75,8,1.1,1535,2,91,21,0.64,MemoryLeak
93,16,60,98,29,2.3,1.46,56,6,0.37,1650,2,105,32,0.54,BadDeploy
51,3,44,61,2,0.25,0.13,52,2,0.13,1285,0,47,7,1.46,Normal
50,3,46,62,4,0.23,0.15,45,4,0.15,1265,0,41,7,1.45,Normal
51,3,44,64,5,0.14,0.12,52,2,0.18,1119,0,57,4,1.31,Normal
50,3,44,62,5,0.24,0.19,45,2,0.11,1199,0,54,6,1.38,Normal
70,9,49,88,17,1.43,0.96,59,5,0.41,2599,6,354,46,1.56,TrafficSpike
69,9,46,86,22,1.54,0.92,58,4,0.52,2320,7,300,44,1.76,TrafficSpike
62,6,50,78,12,0.76,0.43,72,7,1.19,1418,1,99,19,0.51,MemoryLeak
62,6,50,76,11,0.75,0.33,76,8,1.18,1535,1,102,22,0.69,MemoryLeak
51,4,44,57,6,0.15,0.13,48,4,0.1,1275,0,56,7,1.35,Normal
50,5,45,60,2,0.1,0.18,49,2,0.16,1241,0,57,4,1.32,Normal
54,3,45,65,6,0.14,0.11,49,3,0.18,1110,0,46,5,1.43,Normal
95,17,54,96,30,3.17,2.13,62,4,0.25,1585,3,120,38,0.43,BadDeploy
53,3,45,59,3,0.34,0.15,49,2,0.08,1268,0,52,6,1.36,Normal
52,4,46,64,5,0.3,0.18,50,2,0.07,1166,0,58,6,1.31,Normal
73,11,50,91,21,1.59,0.83,58,4,0.45,2662,6,290,46,1.87,TrafficSpike
63,7,48,85,12,0.85,0.43,69,8,1.54,1529,2,98,23,0.58,MemoryLeak
60,6,51,85,13,0.87,0.48,77,8,1.18,1540,1,94,22,0.54,MemoryLeak
96,16,59,100,31,2.61,2.11,58,6,0.23,1631,4,145,49,0.47,BadDeploy
62,6,49,77,10,0.62,0.5,77,6,1.27,1547,1,97,25,0.58,MemoryLeak
55,5,44,68,2,0.33,0.12,52,2,0.13,1131,0,44,7,1.43,Normal
65,8,52,81,14,0.78,0.33,75,7,1.16,1463,2,101,25,0.63,MemoryLeak
65,6,50,78,12,0.73,0.48,69,6,1.09,1498,1,91,19,0.58,MemoryLeak
96,16,52,96,34,2.47,2.09,56,6,0.31,1501,3,124,42,0.57,BadDeploy
71,10,48,89,20,1.39,0.92,59,6,0.56,2670,5,349,40,1.89,TrafficSpike
53,5,46,66,2,0.13,0.14,52,2,0.06,1197,0,46,7,1.37,Normal
90,16,56,95,35,2.02,1.89,61,4,0.4,1699,4,107,30,0.59,BadDeploy
58,8,49,78,11,0.79,0.32,71,7,1.42,1494,1,104,19,0.66,MemoryLeak
52,3,46,56,4,0.27,0.19,51,3,0.19,1150,0,58,5,1.32,Normal
59,8,48,80,14,0.77,0.37,76,8,1.2,1507,2,88,24,0.69,MemoryLeak
70,10,47,89,21,1.52,0.96,57,5,0.49,2674,7,324,43,1.84,TrafficSpike
52,4,44,68,5,0.27,0.17,50,2,0.12,1183,0,55,5,1.37,Normal
63,7,52,79,14,0.6,0.49,69,6,1.43,1525,1,100,25,0.59,MemoryLeak
